zone_name,zip_code,zone_description,shipping_cost,weight_margin,minimum_cost
Mellawagedara,11234,Mellawagedara,100,5,150
Minuwangoda,11550,Minuwangoda,100,5,150
Mirigama,11200,Mirigama,100,5,150
Miriswatta,80508,Miriswatta,100,5,150
Mithirigala,11742,Mithirigala,100,5,150
Muddaragama,11112,Muddaragama,100,5,150
Mudungoda,11056,Mudungoda,100,5,150
Mulleriyawa New Town,10620,Mulleriyawa New Town,100,5,150
Naranwala,11063,Naranwala,100,5,150
Nawana,11222,Nawana,100,5,150
Nedungamuwa,11066,Nedungamuwa,100,5,150
Negombo,11500,Negombo,100,5,150
Nikadalupotha,60580,Nikadalupotha,100,5,150
Nikahetikanda,11128,Nikahetikanda,100,5,150
Nittambuwa,11880,Nittambuwa,100,5,150
Niwandama,11354,Niwandama,100,5,150
Opatha,80142,Opatha,100,5,150
Pamunugama,11370,Pamunugama,100,5,150
Pamunuwatta,11214,Pamunuwatta,100,5,150
Panawala,70612,Panawala,100,5,150
Pasyala,11890,Pasyala,100,5,150
Peliyagoda,11830,Peliyagoda,100,5,150
Pepiliyawala,11741,Pepiliyawala,100,5,150
Pethiyagoda,11043,Pethiyagoda,100,5,150
Polpithimukulana,11324,Polpithimukulana,100,5,150
Puwakpitiya,10712,Puwakpitiya,100,5,150
Radawadunna,11892,Radawadunna,100,5,150
Radawana,11725,Radawana,100,5,150
Raddolugama,11400,Raddolugama,100,5,150
Ragama,11010,Ragama,100,5,150
Ruggahawila,11142,Ruggahawila,100,5,150
Seeduwa,11410,Seeduwa,100,5,150
Siyambalape,11607,Siyambalape,100,5,150
Talahena,11504,Talahena,100,5,150
Thambagalla,60584,Thambagalla,100,5,150
Thimbirigaskatuwa,11532,Thimbirigaskatuwa,100,5,150
Tittapattara,10664,Tittapattara,100,5,150
Udathuthiripitiya,11054,Udathuthiripitiya,100,5,150
Udugampola,11030,Udugampola,100,5,150
Uggalboda,11034,Uggalboda,100,5,150
Urapola,11126,Urapola,100,5,150
Uswetakeiyawa,11328,Uswetakeiyawa,100,5,150
Veyangoda,11100,Veyangoda,100,5,150
Walgammulla,11146,Walgammulla,100,5,150
Walpita,11226,Walpita,100,5,150
